groupId,groupLink,groupName,groupOrg,groupRepo,groupStatus.active,groupType,groupDesc,parentgroupId,groupCal,groupDocs,groupSummary,groupBallots,groupAIs,groupStatus.assignedGroup
ampas-stc-aces,https://acescentral.com/working-groups/#active-working-groups/,Science and Technology Council Academy Color Encoding System (ACES) Project Committee,AMPAS,https://github.com/ampas/aces-docs,true,TC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
iso-tc36-tc,https://www.iso.org/committee/48090.html,TC36,ISO,undefined,true,TC,Cinematography,undefined,undefined,undefined,undefined,undefined,undefined,undefined
iso-tc36-tcwg-wg1,https://www.iso.org/committee/48090.html,WG1,ISO,undefined,true,WG,Production technology,iso-tc36-tc,undefined,undefined,undefined,undefined,undefined,undefined
iso-tc36-tcwg-wg2,https://www.iso.org/committee/48090.html,WG2,ISO,undefined,true,WG,Laboratory and distribution services technology,iso-tc36-tc,undefined,undefined,undefined,undefined,undefined,undefined
iso-tc36-tcwg-wg3,https://www.iso.org/committee/48090.html,WG3,ISO,undefined,true,WG,Audio technology,iso-tc36-tc,undefined,undefined,undefined,undefined,undefined,undefined
iso-tc36-tcwg-wg4,https://www.iso.org/committee/48090.html,WG4,ISO,undefined,true,WG,Presentation technology,iso-tc36-tc,undefined,undefined,undefined,undefined,undefined,undefined
smpte-00c-sc,https://teams.microsoft.com/l/team/19%3ae19516f36d1549c1b8e2ac122f1dd214%40thread.tacv2/conversations?groupId=8a648854-73b1-4fa3-8001-6b62a49efe53&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,Standards Community,SMPTE,undefined,true,SC,undefined,undefined,https://teams.microsoft.com/_#/tab::2874b338-eb34-45ae-9571-a58bbc61031c/General?threadId=19:e19516f36d1549c1b8e2ac122f1dd214@thread.tacv2&ctx=channel,https://smpte.sharepoint.com/sites/SCStandardsCommunity/Shared%20Documents/Forms/AllItems.aspx,undefined,undefined,undefined,undefined
smpte-01c-ps,undefined,Patent Statements,SMPTE,undefined,true,SC,undefined,undefined,undefined,https://smpte.sharepoint.com/sites/SCStandardsCommunity/Shared%20Documents/Forms/AllItems.aspx?RootFolder=%2Fsites%2FSCStandardsCommunity%2FShared%20Documents%2FPatent%20Statements&FolderCTID=0x012000BC8721B008348D48A6FE8E7C9298A177,undefined,undefined,undefined,undefined
smpte-01c-spg,undefined,Standard Policies and Governance,SMPTE,undefined,true,SC,undefined,undefined,undefined,https://www.smpte.org/2020-standard-policies-and-governance,undefined,undefined,undefined,undefined
smpte-02c-cg,https://smpte.sharepoint.com/:o:/s/SCStandardsCommunity/Esh5K3ZEwEJIl3-F4Oucr_cBZZx5u_o0whef7SiAwZ2VZw?e=PnleCA,Committee Guide,SMPTE,undefined,true,SC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
smpte-02c-lc,https://teams.microsoft.com/l/team/19%3ad5675181cbc24c5591eebdea2b436ca3%40thread.tacv2/conversations?groupId=0d0e1b11-f188-46e9-8c59-c81c82a9f975&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,Liaisons Committee,SMPTE,undefined,true,SC,undefined,undefined,https://teams.microsoft.com/_#/tab::4f37236d-1c25-4dea-989c-93f3c99a508b/General?threadId=19:d5675181cbc24c5591eebdea2b436ca3@thread.tacv2&ctx=channel,https://smpte.sharepoint.com/sites/st-liaisons/Shared%20Documents/Forms/AllItems.aspx,"The SMPTE Standards Liaisons Committee manages incoming and outgoing liaisons communications with associated organizations. The Liaisons Team is open to all SC members, but maintenance of the Files and Liaisons Board is mostly carried out at the closed Standards Committee meetings. ",undefined,undefined,undefined
