assignedGroup,assignedTC,docId,projApproved,projectId,projectLink,projectMilestone,projectStatus,workType,docAffected,workNotes,projApprovedDate,updateDependency
smpte-27c-tc,smpte-27c-tcdg-sub,SMPTE.EG428-23.20XX,true,eg428-23-20xx-id,https://web.powerapps.com/apps/c8863a6c-f697-4d22-94e7-e9a03ba895a4?projId=1974,"[{""current"":true,""milestoneAct"":""WG/DG working on WD (20%)""}]",Open,Intial Draft,undefined,undefined,undefined,undefined
smpte-35pm-tc,smpte-35pm-tc,SMPTE.RDD45.2022,true,rdd45-20XX-rev-001,undefined,undefined,Complete,Revision,"[""SMPTE.RDD45.2017""]",undefined,undefined,undefined
smpte-27c-tc,smpte-27c-tc,SMPTE.RDD53.20XX,true,rdd53-20xx-id,https://web.powerapps.com/apps/c8863a6c-f697-4d22-94e7-e9a03ba895a4?projId=1965,"[{""current"":true,""milestoneAct"":""WG/DG working on WD (20%)""}]",Pending,Intial Draft,undefined,On hold for proponent to continue,undefined,undefined
smpte-35pm-tc,smpte-35pm-tc,SMPTE.RDD59-1.2022,true,rdd59-1-20XX-rev-001,undefined,undefined,Complete,Revision,"[""SMPTE.TSP2121.1.2018""]",undefined,undefined,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,SMPTE.RP200.20XX,true,rp200-2012-rev-001,https://web.powerapps.com/apps/c8863a6c-f697-4d22-94e7-e9a03ba895a4?projId=2102,undefined,Open,Revision,"[""SMPTE.RP200.2012""]",undefined,undefined,undefined
smpte-27c-tcdg-sub,smpte-27c-tc,SMPTE.RP428-22.20XX,true,rp428-22-20XX-id,https://web.powerapps.com/apps/c8863a6c-f697-4d22-94e7-e9a03ba895a4?projId=2036,"[{""miledateEnd"":""2021-08-13"",""miledateStart"":""2021-07-31"",""milestoneAct"":""Pre-FCD Review (30%)""},{""current"":true,""miledateEnd"":""2022-02-01"",""miledateStart"":""2021-10-19"",""milestoneAct"":""PCD (45%)""}]",Open,Intial Draft,undefined,undefined,undefined,undefined
smpte-35pm-tc,smpte-35pm-tc,SMPTE.ST2067-101.20XX,true,st2067-101-2017-rev-001,undefined,undefined,Open,Revision,"[""SMPTE.ST2067-101.2018""]",undefined,undefined,undefined
smpte-35pm-tc,smpte-35pm-tc,SMPTE.ST2067-102.2022,true,st2067-102-2017-rev-001,undefined,undefined,Complete,Revision,"[""SMPTE.ST2067-102.2017""]",undefined,undefined,undefined
smpte-35pm-tc,smpte-35pm-tc,SMPTE.ST2067-104.20XX,true,st2067-104-201xx-id,undefined,undefined,Open,Revision,undefined,undefined,undefined,undefined
smpte-35pm-tc,smpte-35pm-tc,SMPTE.ST2067-105.20XX,true,st2067-105-20xx-id,undefined,undefined,Open,Revision,undefined,undefined,undefined,undefined
smpte-35pm-tc,smpte-35pm-tc,SMPTE.ST2067-106.20XX,true,st2067-106-20xx-id,undefined,undefined,Open,Revision,undefined,undefined,undefined,undefined
smpte-35pm-tc,smpte-35pm-tc,SMPTE.ST2067-202.20XX,true,st2067-202-20xx-rev-001,undefined,undefined,Complete,Revision,"[""SMPTE.RDD47.2018""]",undefined,undefined,undefined
smpte-35pm-tc,smpte-35pm-tc,SMPTE.ST2067-21.20XX,true,st2067-21-2020-rev-001,undefined,undefined,Open,Revision,"[""SMPTE.ST2067-21.2020"",""SMPTE.ST2067-21.2020Am1.2020""]",undefined,undefined,undefined
smpte-35pm-tc,smpte-35pm-tc,SMPTE.ST2067-60.20XX,true,st2067-60-20xx-id,undefined,undefined,Open,Intial Draft,undefined,undefined,undefined,undefined
